file_name,n_tokens
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__vectorT_std__vectorT_int64_t_t_t.java,248
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_std__vectorT_std__vectorT_unsigned_long_t_t.java,244
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_uint16_t.java,208
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_uint32_t.java,208
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_unsigned_char.java,204
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_unsigned_long.java,204
ann/src/main/java/com/twitter/ann/faiss/swig/SWIGTYPE_p_void.java,200
ann/src/main/java/com/twitter/ann/faiss/swig/SimulatedAnnealingOptimizer.java,1003
ann/src/main/java/com/twitter/ann/faiss/swig/SimulatedAnnealingParameters.java,953
ann/src/main/java/com/twitter/ann/faiss/swig/SliceInvertedLists.java,1067
ann/src/main/java/com/twitter/ann/faiss/swig/SlidingIndexWindow.java,911
ann/src/main/java/com/twitter/ann/faiss/swig/StopWordsInvertedLists.java,1009
ann/src/main/java/com/twitter/ann/faiss/swig/Uint64Vector.java,623
ann/src/main/java/com/twitter/ann/faiss/swig/VStackInvertedLists.java,1149
ann/src/main/java/com/twitter/ann/faiss/swig/VectorTransform.java,765
ann/src/main/java/com/twitter/ann/faiss/swig/VectorTransformVector.java,660
ann/src/main/java/com/twitter/ann/faiss/swig/VisitedTable.java,589
ann/src/main/java/com/twitter/ann/faiss/swig/doubleArray.java,519
ann/src/main/java/com/twitter/ann/faiss/swig/floatArray.java,519
ann/src/main/java/com/twitter/ann/faiss/swig/float_maxheap_array_t.java,1640
ann/src/main/java/com/twitter/ann/faiss/swig/float_minheap_array_t.java,1640
ann/src/main/java/com/twitter/ann/faiss/swig/intArray.java,519
ann/src/main/java/com/twitter/ann/faiss/swig/int_maxheap_array_t.java,1640
ann/src/main/java/com/twitter/ann/faiss/swig/int_minheap_array_t.java,1640
ann/src/main/java/com/twitter/ann/faiss/swig/longArray.java,523
ann/src/main/java/com/twitter/ann/faiss/swig/resources/.gitkeep,2
ann/src/main/java/com/twitter/ann/faiss/swig/resources/BUILD,113
ann/src/main/java/com/twitter/ann/faiss/swig/swigfaiss.java,9623
ann/src/main/java/com/twitter/ann/faiss/swig/swigfaissConstants.java,163
ann/src/main/java/com/twitter/ann/faiss/swig/swigfaissJNI.java,66350
ann/src/main/java/com/twitter/ann/hnsw/BUILD,206
ann/src/main/java/com/twitter/ann/hnsw/DistanceFunction.java,52
ann/src/main/java/com/twitter/ann/hnsw/DistancedItem.java,131
ann/src/main/java/com/twitter/ann/hnsw/DistancedItemQueue.java,1419
ann/src/main/java/com/twitter/ann/hnsw/HnswIndex.java,6535
ann/src/main/java/com/twitter/ann/hnsw/HnswIndexIOUtil.java,1131
ann/src/main/java/com/twitter/ann/hnsw/HnswMeta.java,306
ann/src/main/java/com/twitter/ann/hnsw/HnswNode.java,298
ann/src/main/java/com/twitter/ann/hnsw/IllegalDuplicateInsertException.java,45
ann/src/main/python/dataflow/BUILD.bazel,336
ann/src/main/python/dataflow/bq.sql,131
ann/src/main/python/dataflow/faiss_index_bq_dataset.py,2137
ann/src/main/python/dataflow/worker_harness/Dockerfile,495
ann/src/main/python/dataflow/worker_harness/cloudbuild.yml,142
ann/src/main/scala/com/twitter/ann/annoy/AnnoyCommon.scala,479
ann/src/main/scala/com/twitter/ann/annoy/BUILD,257
ann/src/main/scala/com/twitter/ann/annoy/RawAnnoyIndexBuilder.scala,1078
ann/src/main/scala/com/twitter/ann/annoy/RawAnnoyQueryIndex.scala,1163
ann/src/main/scala/com/twitter/ann/annoy/TypedAnnoyIndex.scala,613
ann/src/main/scala/com/twitter/ann/annoy/TypedAnnoyIndexBuilderWithFile.scala,522
ann/src/main/scala/com/twitter/ann/annoy/TypedAnnoyQueryIndexWithFile.scala,401
ann/src/main/scala/com/twitter/ann/brute_force/BUILD,120
ann/src/main/scala/com/twitter/ann/brute_force/BruteForceDeserialization.scala,603
ann/src/main/scala/com/twitter/ann/brute_force/BruteForceIndex.scala,1482
ann/src/main/scala/com/twitter/ann/common/AnnInjections.scala,254
ann/src/main/scala/com/twitter/ann/common/Api.scala,1346
ann/src/main/scala/com/twitter/ann/common/BUILD,244
ann/src/main/scala/com/twitter/ann/common/EmbeddingProducer.scala,126
ann/src/main/scala/com/twitter/ann/common/IndexOutputFile.scala,1797
ann/src/main/scala/com/twitter/ann/common/IndexTransformer.scala,1039
ann/src/main/scala/com/twitter/ann/common/MemoizedInEpochs.scala,344
ann/src/main/scala/com/twitter/ann/common/Metric.scala,2416
ann/src/main/scala/com/twitter/ann/common/QueryableById.scala,349
ann/src/main/scala/com/twitter/ann/common/QueryableByIdImplementation.scala,778
ann/src/main/scala/com/twitter/ann/common/QueryableOperations.scala,223
ann/src/main/scala/com/twitter/ann/common/ReadWriteFuturePool.scala,242
ann/src/main/scala/com/twitter/ann/common/Serialization.scala,182
ann/src/main/scala/com/twitter/ann/common/ServiceClientQueryable.scala,494
ann/src/main/scala/com/twitter/ann/common/ShardApi.scala,737
ann/src/main/scala/com/twitter/ann/common/ShardedSerialization.scala,710
ann/src/main/scala/com/twitter/ann/common/Task.scala,982
ann/src/main/scala/com/twitter/ann/dataflow/offline/ANNIndexBuilderBeamJob.scala,4217
ann/src/main/scala/com/twitter/ann/dataflow/offline/BUILD,372
ann/src/main/scala/com/twitter/ann/dataflow/offline/BaseEmbeddingData.scala,40
ann/src/main/scala/com/twitter/ann/dataflow/offline/FlatEmbeddingData.scala,71
ann/src/main/scala/com/twitter/ann/dataflow/offline/GroupedEmbeddingData.scala,86
ann/src/main/scala/com/twitter/ann/experimental/BUILD.bazel,241
ann/src/main/scala/com/twitter/ann/experimental/Runner.scala,1716
ann/src/main/scala/com/twitter/ann/faiss/BUILD,254
ann/src/main/scala/com/twitter/ann/faiss/FaissCommon.scala,373
ann/src/main/scala/com/twitter/ann/faiss/FaissIndex.scala,397
ann/src/main/scala/com/twitter/ann/faiss/FaissIndexer.scala,1356
ann/src/main/scala/com/twitter/ann/faiss/HourlyDirectoryWithSuccessFileListing.scala,496
ann/src/main/scala/com/twitter/ann/faiss/HourlyShardedIndex.scala,772
ann/src/main/scala/com/twitter/ann/faiss/QueryableIndexAdapter.scala,1537
ann/src/main/scala/com/twitter/ann/featurestore/BUILD,95
ann/src/main/scala/com/twitter/ann/featurestore/FeatureStoreEmbeddingProducer.scala,647
ann/src/main/scala/com/twitter/ann/file_store/BUILD,121
ann/src/main/scala/com/twitter/ann/file_store/ReadableIndexIdFileStore.scala,321
ann/src/main/scala/com/twitter/ann/file_store/WritableIndexIdFileStore.scala,593
ann/src/main/scala/com/twitter/ann/hnsw/BUILD,255
ann/src/main/scala/com/twitter/ann/hnsw/DistanceFunctionGenerator.scala,340
ann/src/main/scala/com/twitter/ann/hnsw/Hnsw.scala,1592
ann/src/main/scala/com/twitter/ann/hnsw/HnswCommon.scala,663
ann/src/main/scala/com/twitter/ann/hnsw/HnswIOUtil.scala,850
ann/src/main/scala/com/twitter/ann/hnsw/IdEmbeddingMap.scala,122
ann/src/main/scala/com/twitter/ann/hnsw/JMapBasedIdEmbeddingMap.scala,791
ann/src/main/scala/com/twitter/ann/hnsw/MapDbBasedIdEmbeddingMap.scala,725
ann/src/main/scala/com/twitter/ann/hnsw/SerializableHnsw.scala,1600
ann/src/main/scala/com/twitter/ann/hnsw/TypedHnswIndex.scala,1974
ann/src/main/scala/com/twitter/ann/manhattan/BUILD,123
ann/src/main/scala/com/twitter/ann/manhattan/ManhattanEmbeddingProducer.scala,616
ann/src/main/scala/com/twitter/ann/manhattan/README,97
ann/src/main/scala/com/twitter/ann/scalding/benchmark/BUILD,556
ann/src/main/scala/com/twitter/ann/scalding/benchmark/Knn.scala,1386
ann/src/main/scala/com/twitter/ann/scalding/offline/BUILD.bazel,534
ann/src/main/scala/com/twitter/ann/scalding/offline/IndexingStrategy.scala,1126
ann/src/main/scala/com/twitter/ann/scalding/offline/KnnDebug.scala,1223
ann/src/main/scala/com/twitter/ann/scalding/offline/KnnEntityRecoDebugJob.scala,1021
ann/src/main/scala/com/twitter/ann/scalding/offline/KnnHelper.scala,4485
ann/src/main/scala/com/twitter/ann/scalding/offline/KnnOfflineJob.scala,987
ann/src/main/scala/com/twitter/ann/scalding/offline/KnnTruthSetGenerator.scala,812
ann/src/main/scala/com/twitter/ann/scalding/offline/ParameterlessQueryable.scala,237
ann/src/main/scala/com/twitter/ann/scalding/offline/README,42
ann/src/main/scala/com/twitter/ann/scalding/offline/faissindexbuilder/BUILD.bazel,377
ann/src/main/scala/com/twitter/ann/scalding/offline/faissindexbuilder/IndexBuilder.scala,373
ann/src/main/scala/com/twitter/ann/scalding/offline/faissindexbuilder/IndexBuilderApp.scala,685
ann/src/main/scala/com/twitter/ann/scalding/offline/indexbuilder/BUILD.bazel,372
ann/src/main/scala/com/twitter/ann/scalding/offline/indexbuilder/IndexBuilder.scala,474
ann/src/main/scala/com/twitter/ann/scalding/offline/indexbuilder/IndexBuilderApp.scala,822
ann/src/main/scala/com/twitter/ann/scalding/offline/indexbuilder/README.rst,1584
ann/src/main/scala/com/twitter/ann/scalding/offline/indexbuilderfrombq/BUILD.bazel,373
ann/src/main/scala/com/twitter/ann/scalding/offline/indexbuilderfrombq/IndexBuilderFromBQ.scala,479
ann/src/main/scala/com/twitter/ann/scalding/offline/indexbuilderfrombq/IndexBuilderFromBQApp.scala,1888
ann/src/main/scala/com/twitter/ann/serialization/BUILD,149
ann/src/main/scala/com/twitter/ann/serialization/DummyANNIndexInjection.scala,114
ann/src/main/scala/com/twitter/ann/serialization/PersistedEmbeddingInjection.scala,287
ann/src/main/scala/com/twitter/ann/serialization/ThriftIteratorIO.scala,452
ann/src/main/scala/com/twitter/ann/service/loadtest/AnnLoadTest.scala,582
ann/src/main/scala/com/twitter/ann/service/loadtest/AnnLoadTestMain.scala,3954
ann/src/main/scala/com/twitter/ann/service/loadtest/AnnLoadTestWorker.scala,1167
ann/src/main/scala/com/twitter/ann/service/loadtest/BUILD,338
ann/src/main/scala/com/twitter/ann/service/loadtest/EmbeddingIndexer.scala,318
ann/src/main/scala/com/twitter/ann/service/loadtest/LoadTestRecorder.scala,2164
ann/src/main/scala/com/twitter/ann/service/loadtest/LoadTestUtils.scala,1897
ann/src/main/scala/com/twitter/ann/service/loadtest/README.md,2950
ann/src/main/scala/com/twitter/ann/service/query_server/common/BUILD,647
ann/src/main/scala/com/twitter/ann/service/query_server/common/BaseQueryIndexServer.scala,442
ann/src/main/scala/com/twitter/ann/service/query_server/common/Exceptions.scala,108
ann/src/main/scala/com/twitter/ann/service/query_server/common/FaissIndexPathProvider.scala,149
ann/src/main/scala/com/twitter/ann/service/query_server/common/IndexPathProvider.scala,1668
ann/src/main/scala/com/twitter/ann/service/query_server/common/QueryIndexThriftController.scala,869
ann/src/main/scala/com/twitter/ann/service/query_server/common/QueryServerUtil.scala,307
ann/src/main/scala/com/twitter/ann/service/query_server/common/QueryableProvider.scala,79
ann/src/main/scala/com/twitter/ann/service/query_server/common/RefreshableQueryable.scala,1852
ann/src/main/scala/com/twitter/ann/service/query_server/common/UnsafeQueryIndexServer.scala,1206
ann/src/main/scala/com/twitter/ann/service/query_server/common/throttling/AuroraCPUStatsReader.scala,254
ann/src/main/scala/com/twitter/ann/service/query_server/common/throttling/BUILD,127
ann/src/main/scala/com/twitter/ann/service/query_server/common/throttling/ThrottlingBasedQualityTask.scala,756
ann/src/main/scala/com/twitter/ann/service/query_server/common/throttling/WindowedStats.scala,194
ann/src/main/scala/com/twitter/ann/service/query_server/common/throttling/WindowedThrottlingInstrument.scala,449
ann/src/main/scala/com/twitter/ann/service/query_server/common/warmup/BUILD,93
ann/src/main/scala/com/twitter/ann/service/query_server/common/warmup/Warmup.scala,445
ann/src/main/scala/com/twitter/ann/service/query_server/faiss/BUILD,406
ann/src/main/scala/com/twitter/ann/service/query_server/faiss/FaissQueryIndexServer.scala,1385
ann/src/main/scala/com/twitter/ann/service/query_server/hnsw/BUILD,355
ann/src/main/scala/com/twitter/ann/service/query_server/hnsw/HnswQueryIndexServer.scala,980
ann/src/main/scala/com/twitter/ann/util/BUILD,72
ann/src/main/scala/com/twitter/ann/util/IndexBuilderUtils.scala,245
ann/src/main/thrift/com/twitter/ann/common/BUILD,154
ann/src/main/thrift/com/twitter/ann/common/ann_common.thrift,1412
ann/src/main/thrift/com/twitter/ann/knn/BUILD,95
